case,method,method_key,variant,beta,tns,wns,hpwl,runtime,status,output_tag,run_label
superblue16,DCF v1,dcf_v1,v1,,-99.117940,-17.925586,4.905974E+08,224.523,ok,dcf_v3_beta_sweep,
superblue16,DCF v3b,dcf_v3b,v3b,,-69.504020,-22.065291,4.397976E+08,227.361,ok,dcf_v3_beta_sweep,
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,-66.840255,-22.649115,4.398793E+08,224.896,ok,dcf_v3_beta_sweep,
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,-123.004270,-18.626750,4.391808E+08,223.286,ok,dcf_v3_beta_sweep,
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,-84.143690,-16.959045,4.398238E+08,235.010,ok,dcf_v3_beta_sweep,
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,-51.622550,-16.423551,4.390207E+08,222.710,ok,dcf_v3_beta_sweep,
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,-61.251220,-21.320693,4.397108E+08,223.668,ok,dcf_v3_beta_sweep,
superblue18,DCF v1,dcf_v1,v1,,-17.798613,-7.231050,2.373351E+08,226.519,ok,dcf_v3_beta_sweep,
superblue18,DCF v3b,dcf_v3b,v3b,,-17.262021,-7.101406,2.332934E+08,241.373,ok,dcf_v3_beta_sweep,
superblue18,DCF v3c,dcf_v3c_b005,v3c,0.05,-17.605326,-7.038018,2.333063E+08,237.880,ok,dcf_v3_beta_sweep,
superblue18,DCF v3c,dcf_v3c_b010,v3c,0.10,-17.358376,-6.951991,2.328330E+08,274.524,ok,dcf_v3_beta_sweep,
superblue18,DCF v3c,dcf_v3c_b015,v3c,0.15,-17.526309,-7.109611,2.332873E+08,243.099,ok,dcf_v3_beta_sweep,
superblue18,DCF v3c,dcf_v3c_b020,v3c,0.20,-17.387040,-7.078022,2.333748E+08,233.051,ok,dcf_v3_beta_sweep,
superblue18,DCF v3c,dcf_v3c_b025,v3c,0.25,-17.377916,-7.102151,2.332968E+08,233.399,ok,dcf_v3_beta_sweep,
