method_key,beta,timing_step_id,gp_iter,tns,wns,exported_pair_count,total_exported_weight_mass,tns_delta_vs_v3b_repeat,wns_delta_vs_v3b_repeat,exported_pair_count_delta_vs_v3b_repeat,total_exported_weight_mass_delta_vs_v3b_repeat
dcf_v3b_repeat1,-,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,2,525,-211.5648,-15.66038671875,374151,827181.7906060813,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,3,540,-56.376715,-7.387861328125,152596,344849.307778944,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,4,555,-52.17486,-7.54894775390625,162891,338627.9179640559,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,5,570,-51.36185,-17.375734375,170754,328778.26351567893,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,6,585,-49.76356,-15.129041015625,157937,299972.5080375821,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,7,600,-67.46133,-9.4719580078125,147837,281842.7784996402,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,8,615,-45.14669,-10.06440234375,157128,278005.89946128346,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,9,630,-81.33713,-15.50442578125,163433,292418.031525148,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,10,645,-76.104575,-16.7199296875,157281,273371.9009765894,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,11,660,-105.63394,-19.1202578125,172890,316514.8232895685,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,12,675,-64.6538,-29.78019140625,136453,248047.4021313588,0.0,0.0,0,0.0
dcf_v3b_repeat1,-,13,690,-116.17051,-16.84859375,165313,316658.54254248703,0.0,0.0,0,0.0
dcf_v3c_b015_repeat1,0.15,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
dcf_v3c_b015_repeat1,0.15,2,525,-211.56376,-15.66040625,374148,827179.3300789457,0.001040,-0.000020,-3,-2.460527
dcf_v3c_b015_repeat1,0.15,3,540,-56.37676,-7.3878759765625,152601,344849.39125280816,-0.000045,-0.000015,5,0.083474
dcf_v3c_b015_repeat1,0.15,4,555,-52.174515,-7.54896533203125,162889,338628.5189115497,0.000345,-0.000018,-2,0.600947
dcf_v3c_b015_repeat1,0.15,5,570,-51.36058,-17.375416015625,170737,328764.9868907586,0.001270,0.000318,-17,-13.276625
dcf_v3c_b015_repeat1,0.15,6,585,-49.72278,-15.1308857421875,157868,299888.11434368545,0.040780,-0.001845,-69,-84.393694
dcf_v3c_b015_repeat1,0.15,7,600,-67.500425,-9.481095703125,147861,281880.51533062937,-0.039095,-0.009138,24,37.736831
dcf_v3c_b015_repeat1,0.15,8,615,-45.29942,-10.0630283203125,156896,277561.6792785331,-0.152730,0.001374,-232,-444.220183
dcf_v3c_b015_repeat1,0.15,9,630,-82.408935,-15.508927734375,162288,292725.5278453104,-1.071805,-0.004502,-1145,307.496320
dcf_v3c_b015_repeat1,0.15,10,645,-73.96877,-16.394189453125,156484,272781.65455697384,2.135805,0.325740,-797,-590.246420
dcf_v3c_b015_repeat1,0.15,11,660,-98.06491,-17.764509765625,171857,313074.96237024886,7.569030,1.355748,-1033,-3439.860919
dcf_v3c_b015_repeat1,0.15,12,675,-91.03257,-29.9345390625,166005,298932.85283928807,-26.378770,-0.154348,29552,50885.450708
dcf_v3c_b015_repeat1,0.15,13,690,-85.63473,-16.88475,164263,301401.5367594987,30.535780,-0.036156,-1050,-15257.005783
dcf_v3c_b015_repeat1,0.15,14,705,-116.94091,-28.533640625,169817,300649.8311081108,,,,
dcf_v3c_b020_repeat1,0.20,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
dcf_v3c_b020_repeat1,0.20,2,525,-211.5635,-15.66043359375,374148,827179.5995307284,0.001300,-0.000047,-3,-2.191075
dcf_v3c_b020_repeat1,0.20,3,540,-56.37666,-7.3878564453125,152600,344849.2227327273,0.000055,0.000005,4,-0.085046
dcf_v3c_b020_repeat1,0.20,4,555,-52.17566,-7.54897705078125,162890,338628.1422213276,-0.000800,-0.000029,-1,0.224257
dcf_v3c_b020_repeat1,0.20,5,570,-51.36144,-17.376001953125,170746,328776.7631067879,0.000410,-0.000268,-8,-1.500409
dcf_v3c_b020_repeat1,0.20,6,585,-49.719195,-15.1275751953125,157877,299884.50827022805,0.044365,0.001466,-60,-87.999767
dcf_v3c_b020_repeat1,0.20,7,600,-67.457155,-9.4773818359375,147879,281729.4660527341,0.004175,-0.005424,42,-113.312447
dcf_v3c_b020_repeat1,0.20,8,615,-44.603545,-10.06525,157136,277855.0929931306,0.543145,-0.000848,8,-150.806468
dcf_v3c_b020_repeat1,0.20,9,630,-81.04937,-15.586013671875,163897,294715.47116556275,0.287760,-0.081588,464,2297.439640
dcf_v3c_b020_repeat1,0.20,10,645,-72.209575,-16.43726171875,154834,270997.6150635191,3.895000,0.282668,-2447,-2374.285913
dcf_v3c_b020_repeat1,0.20,11,660,-100.76009,-17.887853515625,172879,316095.83280687494,4.873850,1.232404,-11,-418.990483
dcf_v3c_b020_repeat1,0.20,12,675,-78.48738,-30.121263671875,163977,296501.378059411,-13.833580,-0.341072,27524,48453.975928
dcf_v3c_b020_repeat1,0.20,13,690,-99.525,-16.975365234375,165313,303314.42953363387,16.645510,-0.126771,0,-13344.113009
