case,method,method_key,variant,beta,timing_step_id,gp_iter,tns,wns,exported_pair_count,total_exported_weight_mass
superblue16,DCF v1,dcf_v1,v1,,1,510,-306.15338,-14.725646484375,344735,2313922.799386464
superblue16,DCF v1,dcf_v1,v1,,2,525,-653.34896,-34.2133515625,401070,2783169.8744246964
superblue16,DCF v1,dcf_v1,v1,,3,540,-250.92958,-20.673125,254633,1751251.166878642
superblue16,DCF v1,dcf_v1,v1,,4,555,-397.42908,-16.909171875,295731,1916810.4292635908
superblue16,DCF v1,dcf_v1,v1,,5,570,-319.71382,-29.249109375,210458,1395239.280892503
superblue16,DCF v1,dcf_v1,v1,,6,585,-405.70956,-19.042982421875,205671,1302681.918679519
superblue16,DCF v1,dcf_v1,v1,,7,600,-158.02484,-32.03155078125,205543,1293221.5708248683
superblue16,DCF v1,dcf_v1,v1,,8,615,-74.098665,-20.585689453125,179534,1042432.5375543212
superblue16,DCF v1,dcf_v1,v1,,9,630,-61.46706,-26.80998046875,171909,994503.9301664403
superblue16,DCF v1,dcf_v1,v1,,10,645,-58.43668,-20.95490625,171658,959323.5824694869
superblue16,DCF v1,dcf_v1,v1,,11,660,-83.68139,-24.878333984375,204510,1150647.351532463
superblue16,DCF v1,dcf_v1,v1,,12,675,-40.763565,-19.655919921875,171020,917613.8725649264
superblue16,DCF v1,dcf_v1,v1,,13,690,-114.24651,-18.57432421875,206674,1209294.119151437
superblue16,DCF v3b,dcf_v3b,v3b,,1,510,-306.15338,-14.725646484375,344735,773561.6995160301
superblue16,DCF v3b,dcf_v3b,v3b,,2,525,-211.56338,-15.66041796875,374151,827180.5976630574
superblue16,DCF v3b,dcf_v3b,v3b,,3,540,-56.37608,-7.38786328125,152601,344849.40555681294
superblue16,DCF v3b,dcf_v3b,v3b,,4,555,-52.17482,-7.54902978515625,162846,338515.11931140686
superblue16,DCF v3b,dcf_v3b,v3b,,5,570,-51.37042,-17.37619921875,170784,328974.53843369207
superblue16,DCF v3b,dcf_v3b,v3b,,6,585,-49.721835,-15.1298125,157886,299903.1960499977
