case,method,method_key,variant,beta,timing_step_id,gp_iter,tns,wns,exported_pair_count,total_exported_weight_mass,tns_delta_vs_v3b,wns_delta_vs_v3b,exported_pair_count_delta_vs_v3b,total_exported_weight_mass_delta_vs_v3b
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,2,525,-211.56374,-15.660416015625,374148,827179.3145419392,-0.0003600000000005821,1.953125000397904e-06,-3,-1.2831211182055995
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,3,540,-56.375835,-7.3878623046875,152596,344842.0523099455,0.00024499999999960664,9.765624993107735e-07,-5,-7.353246867423877
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,4,555,-52.173955,-7.5489541015625,162851,338522.1141693564,0.0008649999999974511,7.568359375031974e-05,5,6.994857949553989
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,5,570,-51.372245,-17.375390625,170785,329031.6506244655,-0.0018249999999966349,0.0008085937499977547,1,57.11219077341957
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,6,585,-49.842225,-15.129125,158032,300205.6562940681,-0.12039000000000044,0.00068749999999973,146,302.4602440703893
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,7,600,-65.9061,-9.081580078125,147965,282151.511747348,-0.04281499999999028,0.003626953124999943,-78,80.39765502739465
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,8,615,-44.36737,-10.066826171875,157232,278497.24806986575,0.029795000000000016,-0.0007167968750003695,1260,2106.315549851046
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,9,630,-83.49853,-15.526125,163345,294097.9570575004,0.23231499999999983,0.00299414062499892,699,475.5289317787974
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,10,645,-76.681215,-18.25314453125,157187,273219.8893617061,0.8021250000000038,0.08984375,1872,1108.9281592765474
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,11,660,-112.10426,-19.34890625,182146,335135.4399569856,-4.261669999999995,-0.3420898437499993,-808,-257.3639322979143
