case,method,method_key,tns,wns,hpwl,runtime,status
superblue1,Efficient-TDP,efficient_tdp,-665.092760,-48.121187,4.526704E+08,134.414,ok
superblue1,DCF v3b,dcf_v3b,-43.767775,-20.161828,4.183046E+08,341.012,ok
superblue1,DCF v3c beta=0.20,dcf_v3c_b020,-43.857940,-16.753484,4.171731E+08,365.517,ok
superblue1,DCF v4,dcf_v4,-43.142940,-16.223541,4.171756E+08,364.106,ok
superblue3,Efficient-TDP,efficient_tdp,-19.854089,-11.724317,4.628147E+08,554.147,ok
superblue3,DCF v3b,dcf_v3b,-6494.606080,-1211.047250,3.164240E+09,601.495,ok
superblue3,DCF v3c beta=0.20,dcf_v3c_b020,-20668.750080,-619.689813,4.893294E+09,627.154,ok
superblue3,DCF v4,dcf_v4,-1757.364800,-288.876875,2.450572E+09,578.750,ok
superblue4,Efficient-TDP,efficient_tdp,-90.259830,-9.161039,3.180224E+08,1324.106,ok
superblue4,DCF v3b,dcf_v3b,-158.445700,-10.184970,3.213130E+08,314.009,ok
superblue4,DCF v3c beta=0.20,dcf_v3c_b020,-173.576060,-9.956221,3.204704E+08,312.320,ok
superblue4,DCF v4,dcf_v4,-134.615940,-10.593377,3.199714E+08,312.805,ok
superblue5,Efficient-TDP,efficient_tdp,-65.440080,-24.220008,4.852562E+08,748.797,ok
superblue5,DCF v3b,dcf_v3b,-94.266510,-35.770289,4.908384E+08,455.823,ok
superblue5,DCF v3c beta=0.20,dcf_v3c_b020,-126.186870,-26.200203,4.949856E+08,441.631,ok
superblue5,DCF v4,dcf_v4,-78.269960,-26.437191,4.941714E+08,441.891,ok
superblue7,Efficient-TDP,efficient_tdp,-37.190520,-15.395518,5.980916E+08,757.736,ok
superblue7,DCF v3b,dcf_v3b,-50.475740,-15.395518,5.949848E+08,628.924,ok
superblue7,DCF v3c beta=0.20,dcf_v3c_b020,-51.056535,-15.395518,5.950458E+08,627.235,ok
superblue7,DCF v4,dcf_v4,-50.782045,-15.395518,5.950358E+08,624.595,ok
superblue10,Efficient-TDP,efficient_tdp,-564.221600,-23.441709,9.145873E+08,1866.491,ok
superblue10,DCF v3b,dcf_v3b,-597.703240,-42.213734,9.143126E+08,633.807,ok
superblue10,DCF v3c beta=0.20,dcf_v3c_b020,-601.848280,-42.465621,9.158918E+08,607.297,ok
superblue10,DCF v4,dcf_v4,-614.959360,-42.462918,9.140662E+08,632.299,ok
superblue16,Efficient-TDP,efficient_tdp,-95.195720,-12.571035,4.602074E+08,89.073,ok
superblue16,DCF v3b,dcf_v3b,-94.263520,-17.942543,4.658729E+08,339.012,ok
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,-60.500040,-17.556723,4.656717E+08,337.359,ok
superblue16,DCF v4,dcf_v4,-74.025235,-23.177670,4.660245E+08,337.941,ok
superblue18,Efficient-TDP,efficient_tdp,-19.338465,-6.613083,1.704546E+08,74.420,ok
superblue18,DCF v3b,dcf_v3b,-17.383956,-7.021271,2.332455E+08,250.522,ok
superblue18,DCF v3c beta=0.20,dcf_v3c_b020,-17.286258,-7.021872,2.333622E+08,250.478,ok
superblue18,DCF v4,dcf_v4,-17.268469,-7.078376,2.332768E+08,250.248,ok
