case,method,method_key,timing_step_id,gp_iter,tns,wns,exported_pair_count,total_exported_weight_mass
superblue16,DCF v3b,dcf_v3b,1,510,-208.66612,-13.3625078125,292538,662522.1030084544
superblue16,DCF v3b,dcf_v3b,2,525,-457.52984,-30.6062109375,387766,922291.5704078722
superblue16,DCF v3b,dcf_v3b,3,540,-112.92489,-20.76169921875,233995,528046.3156423557
superblue16,DCF v3b,dcf_v3b,4,555,-96.06529,-24.2233828125,239553,499353.7936689906
superblue16,DCF v3b,dcf_v3b,5,570,-75.462345,-18.7220703125,200126,406937.101397691
superblue16,DCF v3b,dcf_v3b,6,585,-86.09736,-18.59112109375,204145,383755.9352783881
superblue16,DCF v3b,dcf_v3b,7,600,-63.00973,-18.69528515625,163084,311594.19655640784
superblue16,DCF v3b,dcf_v3b,8,615,-59.55225,-21.381396484375,183191,326316.87392011576
superblue16,DCF v3b,dcf_v3b,9,630,-93.88881,-19.47903515625,216316,396492.2483924913
superblue16,DCF v3b,dcf_v3b,10,645,-91.44133,-20.52216796875,195006,359386.75956221647
superblue16,DCF v3b,dcf_v3b,11,660,-66.73952,-18.2359375,175293,311302.5770653138
superblue16,DCF v3b,dcf_v3b,12,675,-60.44452,-27.92433984375,173809,312503.09288431273
superblue16,DCF v3b,dcf_v3b,13,690,-120.81699,-56.78164453125,214794,383387.27144987165
superblue16,DCF v3b,dcf_v3b,14,705,-55.56231,-16.1316484375,196804,339907.4031910417
superblue16,DCF v3b,dcf_v3b,15,720,-58.115115,-37.46990234375,179812,309987.2047102327
superblue16,DCF v3b,dcf_v3b,16,735,-61.83954,-20.380361328125,184239,319848.73571205826
superblue16,DCF v3b,dcf_v3b,17,750,-110.31286,-45.8543203125,203473,355160.5531128623
superblue16,DCF v3b,dcf_v3b,18,765,-48.246145,-23.188484375,173091,293219.62403979286
superblue16,DCF v3b,dcf_v3b,19,780,-111.10104,-52.005171875,218162,381638.3090857279
superblue16,DCF v3b,dcf_v3b,20,795,-51.919685,-46.466828125,185855,315790.61993093323
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,1,510,-208.66612,-13.3625078125,292538,662522.1030084544
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,2,525,-457.53088,-30.6061328125,387766,922292.156111338
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,3,540,-112.92501,-20.761828125,233995,528046.1437439604
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,4,555,-96.06309,-24.2235,239555,499356.58031849354
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,5,570,-75.355965,-18.72191015625,200047,406741.7834835221
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,6,585,-86.40646,-18.592361328125,204335,384390.3057501812
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,7,600,-63.11736,-18.8177421875,162932,311513.6583898545
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,8,615,-58.808455,-21.37823046875,184243,326318.7034130517
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,9,630,-97.37257,-19.57180859375,220605,404905.6219347205
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,10,645,-92.55398,-20.65196875,198208,363180.76038617577
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,11,660,-72.581405,-18.14890234375,189734,342254.00423676847
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,12,675,-62.608525,-27.91024609375,179972,315881.3249613675
superblue16,DCF v3c beta=0.20,dcf_v3c_b020,13,690,-89.18344,-40.50989453125,207120,353740.938459365
