timing_step_id,method,method_key,gate_fraction,tns,wns,exported_pair_count,total_exported_weight_mass
1,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-208.66612,-13.3625078125,101818,1034707.3954591751
2,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-210.01698,-35.77564453125,153484,1556177.091492653
3,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-103.21738,-18.72076171875,173167,1758590.5612182617
4,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-48.93207,-18.126630859375,188081,1910868.4918327332
5,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-42.67016,-20.4713671875,202073,2053335.2632751465
6,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-35.1023425,-17.4443125,215330,2188540.1789398193
7,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-35.407905,-17.35175390625,225097,2289106.6082811356
8,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-32.157255,-16.8634453125,234174,2382895.2620153427
9,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-30.497665,-16.0391533203125,241698,2461328.3631744385
10,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-28.856425,-11.670333984375,247985,2528591.0970697403
11,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-26.66543,-8.7881376953125,253549,2589745.53069973
12,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-21.74453,-5.3796982421875,256606,2627897.3199625015
13,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-18.75172875,-5.24668310546875,259109,2660406.033569336
14,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-17.03962875,-4.3243701171875,260691,2684914.7288150787
15,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-18.68525125,-4.614025390625,261881,2704327.46125412
16,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-16.72254625,-4.70081591796875,262698,2718799.948366165
17,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-15.7863825,-4.43128515625,263532,2733262.568131447
18,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-15.20309125,-4.38512255859375,264031,2743944.283958435
19,DCF v5 hybrid,dcf_v5_hybrid_l010,-,-14.65546375,-4.34347216796875,264483,2754063.0129737854
1,DCF v5.1 gated hybrid,dcf_v5_1_gated_g010,0.10,-208.66612,-13.3625078125,101818,1034690.6395158768
2,DCF v5.1 gated hybrid,dcf_v5_1_gated_g010,0.10,-210.05154,-35.77517578125,153475,1556065.4857587814
3,DCF v5.1 gated hybrid,dcf_v5_1_gated_g010,0.10,-103.20637,-18.720423828125,173173,1758635.8688764572
4,DCF v5.1 gated hybrid,dcf_v5_1_gated_g010,0.10,-48.92811,-18.126623046875,188078,1910829.1068077087
5,DCF v5.1 gated hybrid,dcf_v5_1_gated_g010,0.10,-42.659845,-20.4695546875,202044,2053033.6370782852
6,DCF v5.1 gated hybrid,dcf_v5_1_gated_g010,0.10,-35.1401525,-17.445021484375,215421,2189440.2641038895
