case_name,method,method_key,lambda,gate_fraction,first_timing_step_id,base_pin2pin_pair_count,gated_pair_count,gated_pair_fraction_actual,mapped_mhat_pair_count,final_hybrid_pair_count,exported_tensor_pair_count,final_hybrid_total_weight_mass,exported_tensor_total_weight_mass
superblue16,DCF v5.2 gated hybrid,dcf_v5_2_g025_l004,0.04,0.25,1,101818,25455,0.25000491738319397,84056,101818,101818,1034597.5833349228,1034597.5625
superblue16,DCF v5.2 gated hybrid,dcf_v5_2_g025_l006,0.06,0.25,1,101818,25455,0.25000491738319397,84056,101818,101818,1034631.5074558258,1034631.5625
superblue16,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,1,101818,25455,0.25000491738319397,84056,101818,101818,1034665.4042062759,1034665.4375
superblue16,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,1,101818,25455,0.25000491738319397,84056,101818,101818,1034699.3917226791,1034699.375
superblue16,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,1,101818,25455,0.25000491738319397,84056,101818,101818,1034699.2782058716,1034699.25
superblue3,DCF v5.2 gated hybrid,dcf_v5_2_g025_l004,0.04,0.25,1,44353,11089,0.2500168979167938,21086,44353,44353,454501.25853061676,454501.28125
superblue3,DCF v5.2 gated hybrid,dcf_v5_2_g025_l006,0.06,0.25,1,44353,11089,0.2500168979167938,21086,44353,44353,454714.5429134369,454714.53125
superblue3,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,1,44353,11089,0.2500168979167938,21086,44353,44353,454927.4725494385,454927.46875
superblue3,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,1,44353,11089,0.2500168979167938,21086,44353,44353,455148.9022436142,455148.90625
superblue3,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,1,44353,11089,0.2500168979167938,21086,44353,44353,455141.23717594147,455141.28125
superblue18,DCF v5.2 gated hybrid,dcf_v5_2_g025_l004,0.04,0.25,1,25805,6452,0.250029057264328,20277,25805,25805,268642.9264011383,268642.9375
superblue18,DCF v5.2 gated hybrid,dcf_v5_2_g025_l006,0.06,0.25,1,25805,6452,0.250029057264328,20277,25805,25805,268733.93896865845,268733.9375
superblue18,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,1,25805,6452,0.250029057264328,20277,25805,25805,268826.97406959534,268826.96875
superblue18,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,1,25805,6452,0.250029057264328,20277,25805,25805,268916.2909402847,268916.3125
superblue18,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,1,25805,6452,0.250029057264328,20277,25805,25805,268915.7909832001,268915.78125
