timing_step_id,method,method_key,lambda,gate_fraction,tns,wns,exported_pair_count,total_exported_weight_mass
1,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-208.66612,-13.3625078125,101818,1034699.3917226791
2,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-210.01404,-35.7761875,153479,1556115.5041103363
3,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-103.20266,-18.7206796875,173165,1758564.0861473083
4,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-48.356835,-18.12662109375,188019,1910191.281490326
5,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-42.88491,-20.459037109375,202047,2053028.7848567963
6,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-34.8904275,-17.44544921875,215407,2189239.022878647
7,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-35.68249,-17.3398984375,225204,2290107.3725938797
8,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-32.36981,-16.937646484375,234029,2381377.3035726547
9,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-30.588135,-16.01434765625,241465,2458949.1085090637
10,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-27.89315,-11.544189453125,247642,2525094.6855745316
11,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-28.1069375,-8.42566015625,253104,2585533.323442459
12,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-21.7356425,-5.39572021484375,256368,2625665.851143837
13,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-17.80162125,-5.213310546875,258222,2651526.582019806
14,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-16.89601375,-4.31982421875,259791,2675976.383219719
15,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025_l010,0.10,0.25,-19.01914125,-4.877275390625,261055,2695686.87444973
1,DCF v5.2 gated hybrid,dcf_v5_2_g025_l004,0.04,0.25,-208.66612,-13.3625078125,101818,1034597.5833349228
