timing_step_id,run_tag,tns,wns,exported_pair_count,total_exported_weight_mass
1,previous_best,-208.66612,-13.3625078125,101818,1034597.5833349228
2,previous_best,-209.78354,-35.7798203125,153383,1555020.7328605652
3,previous_best,-102.57962,-18.680142578125,172985,1756618.38712883
4,previous_best,-49.539385,-18.09044921875,187883,1908791.2992038727
5,previous_best,-43.18412,-15.4426650390625,201926,2052588.2493247986
6,previous_best,-34.2358125,-17.43947265625,214904,2184965.1053524017
7,previous_best,-34.5858325,-17.29251953125,224732,2286033.292424202
8,previous_best,-32.653185,-16.8461171875,233588,2377646.1406154633
9,previous_best,-30.937915,-15.31405859375,240578,2450930.492132187
10,previous_best,-29.50995,-11.487337890625,247342,2523074.8261814117
11,previous_best,-27.0447925,-8.6347138671875,252673,2581905.144388199
12,previous_best,-22.45273,-5.37083349609375,256176,2624678.2015457153
13,previous_best,-19.60739125,-5.2148330078125,258587,2656458.500974655
14,previous_best,-18.12835125,-4.334,260487,2683898.9173793793
15,previous_best,-18.4949825,-4.6640439453125,261857,2705032.553796768
1,confirm_rerun,-208.66612,-13.3625078125,101818,1034597.9775218964
2,confirm_rerun,-209.78214,-35.77958984375,153379,1554981.1644172668
3,confirm_rerun,-102.57845,-18.680150390625,172978,1756548.773659706
4,confirm_rerun,-49.53838,-18.09055859375,187869,1908651.4628705978
5,confirm_rerun,-43.18974,-15.4431396484375,201927,2052598.9370470047
6,confirm_rerun,-34.23627,-17.43731640625,214853,2184455.485233307
7,confirm_rerun,-34.588945,-17.2895859375,224717,2285883.410615921
8,confirm_rerun,-32.6506325,-16.846291015625,233633,2378095.5901651382
9,confirm_rerun,-31.1192475,-15.32176171875,240644,2451599.1614046097
10,confirm_rerun,-28.3076425,-11.5388310546875,247124,2520814.1055526733
11,confirm_rerun,-26.35641,-8.6560947265625,252050,2575527.1970272064
12,confirm_rerun,-22.00496,-5.36008203125,255357,2616243.806824684
13,confirm_rerun,-19.0169425,-5.213802734375,257812,2648359.207865715
14,confirm_rerun,-18.04239375,-4.3493291015625,259454,2672912.800122261
15,confirm_rerun,-19.12555625,-4.7556611328125,260806,2693697.8248386383
