timing_step_id,method,method_key,lambda,tns,wns,exported_pair_count,total_exported_weight_mass
1,DCF v3b,dcf_v3b,-,-208.66612,-13.3625078125,292538,662522.1030084544
2,DCF v3b,dcf_v3b,-,-457.52976,-30.6061875,387766,922291.4419831648
3,DCF v3b,dcf_v3b,-,-112.92493,-20.761705078125,233994,528046.4781515362
4,DCF v3b,dcf_v3b,-,-96.0692,-24.223517578125,239555,499358.3241822574
5,DCF v3b,dcf_v3b,-,-75.34135,-18.722138671875,200026,406707.28797144914
6,DCF v3b,dcf_v3b,-,-86.10377,-18.59229296875,204191,383803.3613865665
7,DCF v3b,dcf_v3b,-,-63.295705,-18.81843359375,163186,311740.59627685696
8,DCF v3b,dcf_v3b,-,-59.010725,-21.38583984375,183584,326190.6975596537
9,DCF v3b,dcf_v3b,-,-96.28153,-19.4531953125,218644,401790.4532161315
10,DCF v3b,dcf_v3b,-,-80.36175,-18.42466015625,196117,358797.7395180644
11,DCF v3b,dcf_v3b,-,-68.166175,-18.0804375,179425,319410.7831206169
12,DCF v3b,dcf_v3b,-,-71.76289,-28.62201953125,203926,358776.52796319325
13,DCF v3b,dcf_v3b,-,-81.66482,-56.15871875,200135,353898.3665507541
14,DCF v3b,dcf_v3b,-,-71.0034,-14.967681640625,203350,341298.95287768624
15,DCF v3b,dcf_v3b,-,-66.43251,-33.16244140625,190717,326120.1583170193
16,DCF v3b,dcf_v3b,-,-80.357945,-22.22183984375,208994,354815.0659238136
17,DCF v3b,dcf_v3b,-,-76.654355,-36.3643359375,204099,350561.80663263117
18,DCF v3b,dcf_v3b,-,-79.521825,-22.49473046875,209911,366419.3911796717
19,DCF v3b,dcf_v3b,-,-101.74371,-23.826896484375,222937,372729.90068872366
20,DCF v3b,dcf_v3b,-,-516.13564,-32.175333984375,500468,994438.2337249231
1,DCF v4,dcf_v4,-,-208.66612,-13.3625078125,292538,662522.1030084544
2,DCF v4,dcf_v4,-,-457.53048,-30.60613671875,387766,922291.9223292987
3,DCF v4,dcf_v4,-,-112.92523,-20.761875,233991,528046.3017643598
4,DCF v4,dcf_v4,-,-96.06449,-24.22340625,239555,499358.36791419674
5,DCF v4,dcf_v4,-,-75.356635,-18.72207421875,200070,406743.11189564073
6,DCF v4,dcf_v4,-,-86.40435,-18.5919765625,204340,384375.0957994766
7,DCF v4,dcf_v4,-,-63.13997,-18.8168671875,162897,311447.7197963857
8,DCF v4,dcf_v4,-,-58.80957,-21.3774140625,184157,326088.27378416306
9,DCF v4,dcf_v4,-,-97.38481,-19.57259765625,220892,405333.37508640374
10,DCF v4,dcf_v4,-,-92.95412,-20.63333203125,197876,362004.9577963663
11,DCF v4,dcf_v4,-,-61.521485,-18.125298828125,194726,348892.4158962134
12,DCF v4,dcf_v4,-,-77.001355,-27.77998046875,193472,339370.27780734596
13,DCF v4,dcf_v4,-,-110.98097,-40.36471484375,220822,392089.4548103527
14,DCF v4,dcf_v4,-,-88.53676,-18.0644765625,204471,363428.2378038308
15,DCF v4,dcf_v4,-,-160.88775,-34.23565625,214955,377785.0696910125
16,DCF v4,dcf_v4,-,-89.5811,-32.33218359375,212147,374319.36233644653
17,DCF v4,dcf_v4,-,-55.0562,-38.12044140625,192652,333238.51146781474
18,DCF v4,dcf_v4,-,-104.29009,-33.31321484375,223760,394205.0180248835
19,DCF v4,dcf_v4,-,-73.917435,-29.63530859375,211951,353477.743376525
20,DCF v4,dcf_v4,-,-118.6603,-33.5390546875,221241,392047.0094994471
1,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-208.66612,-13.3625078125,0,0.0
2,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-216.99058,-13.723513671875,0,0.0
3,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-213.62168,-15.06531640625,0,0.0
4,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-224.85106,-15.0978505859375,0,0.0
5,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-249.74134,-15.07534375,0,0.0
6,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-252.54342,-14.976876953125,0,0.0
7,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-237.05186,-13.852044921875,0,0.0
8,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-241.6142,-14.09143359375,0,0.0
9,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-238.9692,-14.34455078125,0,0.0
10,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-238.39502,-14.35990234375,0,0.0
11,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-236.32998,-13.9408994140625,0,0.0
12,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-247.24078,-14.1054345703125,0,0.0
13,DCF v5 hybrid,dcf_v5_hybrid_l020,0.20,-247.50326,-14.2578671875,0,0.0
1,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-208.66612,-13.3625078125,0,0.0
2,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-216.99058,-13.723513671875,0,0.0
3,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-213.62168,-15.06531640625,0,0.0
4,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-224.85106,-15.0978505859375,0,0.0
5,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-249.74134,-15.07534375,0,0.0
6,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-252.54342,-14.976876953125,0,0.0
7,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-237.05186,-13.852044921875,0,0.0
8,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-241.6142,-14.09143359375,0,0.0
9,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-238.9692,-14.34455078125,0,0.0
10,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-238.39502,-14.35990234375,0,0.0
11,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-236.32998,-13.9408994140625,0,0.0
12,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-247.24078,-14.1054345703125,0,0.0
13,DCF v5 hybrid,dcf_v5_hybrid_l030,0.30,-247.50326,-14.2578671875,0,0.0
