src_id,src_name,dst_id,dst_name,weight,length
1949,p9988,1878649,o462051:a,50.0,19.921001434326172
574857,FE_OFC53121_n368575:o,479081,FE_OFC53122_n368575:a,50.0,472.33172607421875
1002254,FE_OFC53119_n368575:o,1506136,FE_OFC53120_n368575:a,50.0,1087.2470703125
1223429,FE_OFC53118_n368575:o,1002255,FE_OFC53119_n368575:a,50.0,474.24810791015625
722016,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460150:o,2300269,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460151:a,50.0,98.07864379882812
2300267,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460151:o,54534,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460152:a,50.0,73.36801147460938
54532,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460152:o,1139995,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460153:a,50.0,22.63198471069336
1139993,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460153:o,1271178,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460154:a,50.0,10.63198471069336
1271176,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460154:o,1653925,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460155:a,50.0,131.3548583984375
1653923,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460155:o,1240165,A1_B1_C6_D7_E5_F1_G1_H1_I1_o460156:a,50.0,31.908203125
