src_id,src_name,dst_id,dst_name,mhat
2105068,FE_OFC52860_n368504:o,1778239,FE_OFC52863_n368504:a,1.0
1379610,FE_OFC52866_n368504:o,946777,FE_OFC52869_n368504:a,1.0
1778238,FE_OFC52863_n368504:o,1379611,FE_OFC52866_n368504:a,1.0
946776,FE_OFC52869_n368504:o,2231417,FE_OFC52874_n368504:a,1.0
1949,p9988,1878649,o462051:a,1.0
1878648,o462051:o,479103,FE_OFC52856_n368504:a,1.0
479102,FE_OFC52856_n368504:o,2105069,FE_OFC52860_n368504:a,1.0
1613161,FE_OFC53472_n400970:o,743974,A1_B1_C7_D8_E27_F1_G1_I2_o442443:i17,0.9494843482971191
291898,FE_OFC53471_n400970:o,1613162,FE_OFC53472_n400970:a,0.9494843482971191
1776289,FE_OFC52885_n368504:o,1776686,FE_OFC52890_n368504:a,0.9494843482971191
