timing_step_id,method,rerank_window_fraction,tns,wns,exported_pair_count,total_exported_weight_mass
1,Efficient-TDP,-,-208.66612,-13.3625078125,101818,1034529.9174728394
2,Efficient-TDP,-,-209.49258,-35.7826171875,153356,1554649.968928337
3,Efficient-TDP,-,-102.49983,-18.65295703125,173008,1756751.5525684357
4,Efficient-TDP,-,-49.56662,-18.06402734375,187992,1909796.0825414658
5,Efficient-TDP,-,-43.21861,-19.920787109375,201974,2052222.106806755
6,Efficient-TDP,-,-31.6662975,-17.19967578125,214511,2180136.3475751877
7,Efficient-TDP,-,-33.556215,-17.32355859375,224322,2280963.0558986664
8,Efficient-TDP,-,-30.8760875,-16.35473046875,232952,2370346.8870859146
9,Efficient-TDP,-,-30.89953,-15.9395224609375,240129,2445367.33707428
10,Efficient-TDP,-,-28.086425,-11.246626953125,246612,2514678.0888118744
11,Efficient-TDP,-,-25.1915525,-8.60860546875,251193,2565859.2231521606
12,Efficient-TDP,-,-22.0982425,-5.418642578125,254853,2610346.13171196
13,Efficient-TDP,-,-19.13329875,-5.12942529296875,257221,2642218.0454263687
14,Efficient-TDP,-,-17.99006375,-4.435849609375,258834,2666894.19090271
15,Efficient-TDP,-,-18.93767625,-5.1526689453125,260187,2687273.266896248
16,Efficient-TDP,-,-16.8428475,-4.63947998046875,261018,2702093.460331917
17,Efficient-TDP,-,-16.96484,-4.4469326171875,261893,2717219.547964096
18,Efficient-TDP,-,-15.86054375,-4.410681640625,262494,2729138.062736511
19,Efficient-TDP,-,-15.360455,-4.43445458984375,262954,2739307.1482629776
1,DCF v5.2 gated hybrid,-,-208.66612,-13.3625078125,101818,1034597.5833349228
2,DCF v5.2 gated hybrid,-,-209.78354,-35.7798203125,153383,1555020.7328605652
3,DCF v5.2 gated hybrid,-,-102.57962,-18.680142578125,172985,1756618.38712883
4,DCF v5.2 gated hybrid,-,-49.539385,-18.09044921875,187883,1908791.2992038727
5,DCF v5.2 gated hybrid,-,-43.18412,-15.4426650390625,201926,2052588.2493247986
6,DCF v5.2 gated hybrid,-,-34.2358125,-17.43947265625,214904,2184965.1053524017
7,DCF v5.2 gated hybrid,-,-34.5858325,-17.29251953125,224732,2286033.292424202
8,DCF v5.2 gated hybrid,-,-32.653185,-16.8461171875,233588,2377646.1406154633
9,DCF v5.2 gated hybrid,-,-30.937915,-15.31405859375,240578,2450930.492132187
10,DCF v5.2 gated hybrid,-,-29.50995,-11.487337890625,247342,2523074.8261814117
11,DCF v5.2 gated hybrid,-,-27.0447925,-8.6347138671875,252673,2581905.144388199
12,DCF v5.2 gated hybrid,-,-22.45273,-5.37083349609375,256176,2624678.2015457153
13,DCF v5.2 gated hybrid,-,-19.60739125,-5.2148330078125,258587,2656458.500974655
14,DCF v5.2 gated hybrid,-,-18.12835125,-4.334,260487,2683898.9173793793
15,DCF v5.2 gated hybrid,-,-18.4949825,-4.6640439453125,261857,2705032.553796768
1,DCF v6 local rerank,0.05,-208.66612,-13.3625078125,101818,1034530.048166275
2,DCF v6 local rerank,0.05,-209.59052,-35.79476171875,153360,1554688.0853328705
3,DCF v6 local rerank,0.05,-103.06725,-18.913021484375,173464,1761224.3480072021
4,DCF v6 local rerank,0.05,-50.38954,-18.009876953125,188110,1910938.2929000854
5,DCF v6 local rerank,0.05,-41.286835,-20.06920703125,202429,2056576.758942604
6,DCF v6 local rerank,0.05,-35.162275,-16.977443359375,216165,2196834.190014839
7,DCF v6 local rerank,0.05,-38.0403525,-16.78610546875,226101,2299507.4232854843
8,DCF v6 local rerank,0.05,-30.2192925,-16.296396484375,234409,2385598.779045105
9,DCF v6 local rerank,0.05,-31.66198,-15.8239345703125,242221,2467080.2258205414
10,DCF v6 local rerank,0.05,-30.50385,-11.71699609375,248788,2537319.5199451447
11,DCF v6 local rerank,0.05,-26.4550375,-8.923294921875,254031,2595174.978535652
12,DCF v6 local rerank,0.05,-22.511905,-5.4666669921875,257939,2641834.350599289
13,DCF v6 local rerank,0.05,-18.133,-5.1743671875,260205,2671899.2169275284
14,DCF v6 local rerank,0.05,-17.73508125,-4.37566845703125,261976,2697817.4909772873
15,DCF v6 local rerank,0.05,-19.19514875,-4.70562939453125,263317,2718334.5253105164
16,DCF v6 local rerank,0.05,-17.81158875,-5.4147177734375,264399,2734711.3974256516
17,DCF v6 local rerank,0.05,-15.99546125,-4.4491015625,265171,2748374.0453910828
18,DCF v6 local rerank,0.05,-16.35537375,-4.4751982421875,265681,2759422.3185987473
19,DCF v6 local rerank,0.05,-15.37616625,-4.2675009765625,266108,2769444.8029899597
1,DCF v6 local rerank,0.10,-208.66612,-13.3625078125,101818,1034529.9095211029
2,DCF v6 local rerank,0.10,-209.72752,-35.76741015625,153366,1554753.5287504196
3,DCF v6 local rerank,0.10,-102.44487,-18.986068359375,173393,1760458.921450615
4,DCF v6 local rerank,0.10,-50.93998,-18.01325390625,188153,1911367.5645666122
5,DCF v6 local rerank,0.10,-39.73241,-20.36637109375,202265,2054862.4632148743
6,DCF v6 local rerank,0.10,-35.36829,-16.9420078125,216205,2197147.7731075287
7,DCF v6 local rerank,0.10,-38.38575,-16.8558671875,226279,2301174.935145378
8,DCF v6 local rerank,0.10,-30.13941,-16.81152734375,234757,2388847.5882644653
9,DCF v6 local rerank,0.10,-31.0511675,-16.839810546875,241837,2462771.4767160416
10,DCF v6 local rerank,0.10,-29.33612,-11.4820888671875,248446,2533508.3569431305
11,DCF v6 local rerank,0.10,-28.516885,-10.2862470703125,254187,2595784.6259326935
12,DCF v6 local rerank,0.10,-23.1578,-6.18727783203125,257597,2636849.5289697647
13,DCF v6 local rerank,0.10,-19.43707,-5.0259404296875,259789,2666693.9538440704
14,DCF v6 local rerank,0.10,-18.07155,-4.3913359375,261499,2691602.2788391113
15,DCF v6 local rerank,0.10,-19.7599425,-5.0260634765625,262776,2711244.2387952805
16,DCF v6 local rerank,0.10,-16.95758,-4.73647802734375,263911,2728720.2650928497
17,DCF v6 local rerank,0.10,-17.0581025,-4.48084326171875,264812,2743878.6522579193
18,DCF v6 local rerank,0.10,-16.73445,-4.453744140625,265622,2757741.216368675
19,DCF v6 local rerank,0.10,-17.560925,-4.2829873046875,266537,2772673.373989105
1,DCF v6 local rerank,0.20,-208.66612,-13.3625078125,101818,1034529.9284009933
2,DCF v6 local rerank,0.20,-209.63298,-35.75936328125,153379,1554882.024096489
3,DCF v6 local rerank,0.20,-101.27997,-18.844591796875,173496,1761480.8423757553
4,DCF v6 local rerank,0.20,-51.36796,-17.986298828125,188336,1913214.8577690125
5,DCF v6 local rerank,0.20,-40.744865,-20.077267578125,202481,2057107.8727312088
6,DCF v6 local rerank,0.20,-34.64068,-16.689953125,215768,2192870.3512821198
7,DCF v6 local rerank,0.20,-38.3646325,-16.8656640625,226035,2298805.107240677
8,DCF v6 local rerank,0.20,-29.98562,-16.77071875,234362,2384974.114145279
9,DCF v6 local rerank,0.20,-31.1915925,-16.110345703125,242024,2464855.2566804886
10,DCF v6 local rerank,0.20,-34.7415625,-11.870458984375,249736,2546779.815112114
11,DCF v6 local rerank,0.20,-30.1995425,-9.589884765625,255499,2609744.897336006
12,DCF v6 local rerank,0.20,-24.1341025,-5.3589072265625,259212,2654934.7359876633
13,DCF v6 local rerank,0.20,-20.38771,-4.99474072265625,261275,2683564.9375572205
14,DCF v6 local rerank,0.20,-18.6820225,-4.30386376953125,262906,2708180.068967819
15,DCF v6 local rerank,0.20,-21.5583425,-4.88753369140625,264100,2727281.7086496353
