timing_step_id,method,expansion_size,tns,wns,exported_pair_count,total_exported_weight_mass
1,Efficient-TDP,-,-208.66612,-13.3625078125,101818,1034530.0702972412
2,Efficient-TDP,-,-209.4927,-35.78214453125,153351,1554600.2134485245
3,Efficient-TDP,-,-102.47645,-18.653080078125,172989,1756561.2351369858
4,Efficient-TDP,-,-49.566315,-18.06403515625,187971,1909585.7962884903
5,Efficient-TDP,-,-43.106245,-19.9213203125,201942,2051895.989575386
6,Efficient-TDP,-,-31.6469325,-17.199912109375,214473,2179747.9074754715
7,Efficient-TDP,-,-33.54741,-17.327072265625,224205,2279784.6150102615
8,Efficient-TDP,-,-30.8436875,-16.3542841796875,232787,2368687.1235542297
9,Efficient-TDP,-,-30.9228825,-15.9531171875,240066,2444727.656723976
10,Efficient-TDP,-,-28.1663775,-11.2418857421875,246566,2514227.1282072067
11,Efficient-TDP,-,-25.5596,-8.503865234375,251497,2568970.990571022
12,Efficient-TDP,-,-21.059465,-5.4294384765625,254585,2607517.2367076874
13,Efficient-TDP,-,-18.93217625,-5.108734375,256789,2637653.0755081177
14,Efficient-TDP,-,-18.1074275,-4.478755859375,258510,2663455.9122276306
15,Efficient-TDP,-,-18.39924375,-5.10258203125,259728,2682145.7931642532
16,Efficient-TDP,-,-17.25365625,-4.6362646484375,260854,2700139.8555603027
17,Efficient-TDP,-,-17.20437625,-4.4943681640625,261647,2714541.4579925537
18,Efficient-TDP,-,-16.89329,-4.54498046875,262221,2726225.8271770477
19,Efficient-TDP,-,-16.04840125,-4.51471923828125,262665,2736289.3542661667
1,DCF v5.2 gated hybrid,-,-208.66612,-13.3625078125,101818,1034597.5833349228
2,DCF v5.2 gated hybrid,-,-209.78354,-35.7798203125,153383,1555020.7328605652
3,DCF v5.2 gated hybrid,-,-102.57962,-18.680142578125,172985,1756618.38712883
4,DCF v5.2 gated hybrid,-,-49.539385,-18.09044921875,187883,1908791.2992038727
5,DCF v5.2 gated hybrid,-,-43.18412,-15.4426650390625,201926,2052588.2493247986
6,DCF v5.2 gated hybrid,-,-34.2358125,-17.43947265625,214904,2184965.1053524017
7,DCF v5.2 gated hybrid,-,-34.5858325,-17.29251953125,224732,2286033.292424202
8,DCF v5.2 gated hybrid,-,-32.653185,-16.8461171875,233588,2377646.1406154633
9,DCF v5.2 gated hybrid,-,-30.937915,-15.31405859375,240578,2450930.492132187
10,DCF v5.2 gated hybrid,-,-29.50995,-11.487337890625,247342,2523074.8261814117
11,DCF v5.2 gated hybrid,-,-27.0447925,-8.6347138671875,252673,2581905.144388199
12,DCF v5.2 gated hybrid,-,-22.45273,-5.37083349609375,256176,2624678.2015457153
13,DCF v5.2 gated hybrid,-,-19.60739125,-5.2148330078125,258587,2656458.500974655
14,DCF v5.2 gated hybrid,-,-18.12835125,-4.334,260487,2683898.9173793793
15,DCF v5.2 gated hybrid,-,-18.4949825,-4.6640439453125,261857,2705032.553796768
1,DCF v7 candidate expansion,0.01,-208.66612,-13.3625078125,102837,1044719.9417209625
2,DCF v7 candidate expansion,0.01,-378.63796,-35.29508984375,175653,1782373.4430332184
3,DCF v7 candidate expansion,0.01,-135.05643,-17.4609921875,202332,2056818.8758983612
4,DCF v7 candidate expansion,0.01,-97.51714,-20.458259765625,227604,2314410.0175333023
5,DCF v7 candidate expansion,0.01,-76.398135,-17.514052734375,249295,2536052.0993537903
6,DCF v7 candidate expansion,0.01,-115.44741,-15.565240234375,274085,2791595.1846256256
7,DCF v7 candidate expansion,0.01,-113.91553,-17.152736328125,298700,3044930.7475061417
8,DCF v7 candidate expansion,0.01,-79.00432,-18.33591015625,316264,3225590.2061052322
9,DCF v7 candidate expansion,0.01,-81.26944,-17.45047265625,332304,3391735.124042511
10,DCF v7 candidate expansion,0.01,-72.10798,-15.24396484375,345597,3530964.883588791
11,DCF v7 candidate expansion,0.01,-93.82084,-14.45750390625,356246,3644661.0967960358
12,DCF v7 candidate expansion,0.01,-66.213485,-13.66487890625,368047,3768983.9170970917
13,DCF v7 candidate expansion,0.01,-88.87816,-12.316673828125,378472,3881339.921005249
14,DCF v7 candidate expansion,0.01,-71.67558,-8.3012216796875,385198,3958034.9534521103
15,DCF v7 candidate expansion,0.01,-56.151155,-8.6283740234375,388755,4001680.1340589523
16,DCF v7 candidate expansion,0.01,-100.53422,-9.474900390625,394005,4064912.2769031525
1,DCF v7 candidate expansion,0.02,-208.66612,-13.3625078125,103855,1054899.9140310287
2,DCF v7 candidate expansion,0.02,-378.44476,-34.9833515625,177759,1803504.417476654
3,DCF v7 candidate expansion,0.02,-130.24072,-17.369927734375,203912,2072651.7147712708
4,DCF v7 candidate expansion,0.02,-103.56742,-20.486396484375,230222,2340757.376267433
5,DCF v7 candidate expansion,0.02,-114.08302,-17.35301953125,256512,2610356.5464715958
6,DCF v7 candidate expansion,0.02,-80.862565,-16.4996171875,280964,2860383.860892296
7,DCF v7 candidate expansion,0.02,-194.30106,-16.792484375,307551,3136673.24593544
8,DCF v7 candidate expansion,0.02,-92.24626,-17.87023046875,326412,3331326.7391319275
9,DCF v7 candidate expansion,0.02,-91.18984,-16.2108369140625,339982,3473596.60176754
10,DCF v7 candidate expansion,0.02,-72.106295,-16.720625,354066,3619876.0302410126
11,DCF v7 candidate expansion,0.02,-64.567985,-14.3455087890625,363393,3718886.6330633163
12,DCF v7 candidate expansion,0.02,-83.935,-15.4762890625,373477,3825612.1436309814
13,DCF v7 candidate expansion,0.02,-91.38896,-12.2579296875,385331,3952468.922984123
14,DCF v7 candidate expansion,0.02,-81.963375,-7.8094111328125,396791,4079550.806714058
15,DCF v7 candidate expansion,0.02,-105.34087,-8.78154296875,400794,4128682.23169899
16,DCF v7 candidate expansion,0.02,-59.504825,-7.22364404296875,403795,4165985.4136152267
17,DCF v7 candidate expansion,0.02,-108.29449,-8.3823125,407585,4213146.107627869
1,DCF v7 candidate expansion,0.05,-208.66612,-13.3625078125,106909,1085440.1732292175
2,DCF v7 candidate expansion,0.05,-374.8462,-35.82921484375,182041,1846085.6205501556
3,DCF v7 candidate expansion,0.05,-143.17342,-17.44698046875,212292,2156909.172545433
4,DCF v7 candidate expansion,0.05,-134.60928,-20.4956171875,242085,2461045.4011497498
5,DCF v7 candidate expansion,0.05,-104.57288,-17.6755859375,268753,2733295.913479805
6,DCF v7 candidate expansion,0.05,-106.01538,-17.036486328125,296182,3014495.728709221
7,DCF v7 candidate expansion,0.05,-98.47306,-17.4135,318197,3240976.8449611664
8,DCF v7 candidate expansion,0.05,-95.63638,-17.01625390625,339726,3463154.6008987427
9,DCF v7 candidate expansion,0.05,-144.53118,-16.869103515625,354955,3623412.501686096
10,DCF v7 candidate expansion,0.05,-95.78914,-16.934947265625,372408,3804445.099773407
11,DCF v7 candidate expansion,0.05,-62.024095,-14.148607421875,384040,3926897.29361248
12,DCF v7 candidate expansion,0.05,-63.764455,-14.5580390625,394018,4032292.893429756
13,DCF v7 candidate expansion,0.05,-124.6351,-12.4908583984375,408523,4188275.453895569
14,DCF v7 candidate expansion,0.05,-112.92177,-10.23487109375,416048,4272906.82381916
15,DCF v7 candidate expansion,0.05,-160.35812,-12.6716396484375,421946,4342428.680738449
16,DCF v7 candidate expansion,0.05,-139.06501,-10.6869921875,428867,4422719.770528793
