variant,topk,pin2pin_overlap_count,pin2pin_jaccard,original_dcf_jaccard,topk_mean_length,topk_median_length,topk_q90_length,topk_q99_length,topk_max_length,topk_score_fraction
original_dcf,100,44,0.28205128205128205,1.0,10212.407038574218,4757.0009765625,21840.4099609375,22197.0303125,22276.408203125,0.004365983635197941
original_dcf,1000,352,0.21359223300970873,1.0,2992.466730392456,1590.2962036132812,7557.541894531255,21878.53470703125,22783.77734375,0.039673713792662595
original_dcf,5000,2311,0.30055924047340354,1.0,1740.9304154556276,1384.89501953125,2595.1540039062506,16600.572734375022,22783.77734375,0.184747812692357
no_eta,100,97,0.941747572815534,0.30718954248366015,1403.2416369628907,742.7850952148438,2491.6974853515644,20080.10390625001,21660.46875,0.004483709497720892
no_eta,1000,972,0.9455252918287937,0.21802679658952498,503.4583993377686,90.8996467590332,1250.3669067382812,9482.448466796874,21660.46875,0.04166788383277769
no_eta,5000,4248,0.7385257301808067,0.368738023542294,784.6070933990478,128.79736328125,1855.4244140625003,10774.557949218817,22276.408203125,0.19199428648561423
M_only,100,97,0.941747572815534,0.30718954248366015,1403.2416369628907,742.7850952148438,2491.6974853515644,20080.10390625001,21660.46875,0.0063148738258480925
M_only,1000,972,0.9455252918287937,0.21802679658952498,503.4583993377686,90.8996467590332,1250.3669067382812,9482.448466796874,21660.46875,0.055590366740501274
M_only,5000,4248,0.7385257301808067,0.368738023542294,784.6070933990478,128.79736328125,1855.4244140625003,10774.557949218817,22276.408203125,0.23897080527447886
S_only,100,97,0.941747572815534,0.30718954248366015,1403.2416369628907,742.7850952148438,2491.6974853515644,20080.10390625001,21660.46875,0.004483709497720892
S_only,1000,972,0.9455252918287937,0.21802679658952498,503.4583993377686,90.8996467590332,1250.3669067382812,9482.448466796874,21660.46875,0.04166788383277769
S_only,5000,4248,0.7385257301808067,0.368738023542294,784.6070933990478,128.79736328125,1855.4244140625003,10774.557949218817,22276.408203125,0.19199428648561423
