variant,topk,pin2pin_overlap_count,pin2pin_jaccard,original_dcf_jaccard,topk_mean_length,topk_median_length,topk_q90_length,topk_q99_length,topk_max_length,topk_score_fraction
original_dcf,100,16,0.08695652173913043,1.0,16977.065541992186,14945.73388671875,34265.458984375,40386.22351562501,42652.09375,0.0011348787068612663
original_dcf,1000,247,0.14090131203650885,1.0,12055.263876708985,10014.15380859375,25369.086718750004,35220.3675,42652.09375,0.010680764835220999
original_dcf,5000,1849,0.22684333210649,1.0,8293.259604260254,6041.35205078125,20297.040625,29598.37214843753,42652.09375,0.04994814406993276
no_eta,100,70,0.5384615384615384,0.16279069767441862,1934.7443994140624,1083.10107421875,5349.902441406253,11021.378027343771,15007.4912109375,0.0011379935841234175
no_eta,1000,736,0.5822784810126582,0.2674271229404309,2730.0912351436614,613.0534057617188,8143.612646484376,28036.634453125,42652.09375,0.0106536342258236
no_eta,5000,4387,0.7815784785319794,0.29466597617814605,2417.8572099925996,368.8388671875,7322.811816406251,26783.498437500002,42652.09375,0.04972467089412697
M_only,100,85,0.7391304347826086,0.1695906432748538,2112.3811608886717,961.583740234375,5780.220019531251,15089.260556640667,23184.42578125,0.0016169999669350267
M_only,1000,903,0.8231540565177757,0.20048019207683074,1478.1003563232423,373.6575927734375,3688.522998046877,14885.211708984374,23184.42578125,0.014381033179769737
M_only,5000,4506,0.8201674554058973,0.28435653737477523,2224.483922474289,334.361328125,6241.36025390625,25207.57314453128,42652.09375,0.06407106012403321
S_only,100,70,0.5384615384615384,0.16279069767441862,1934.7443994140624,1083.10107421875,5349.902441406253,11021.378027343771,15007.4912109375,0.001137993560460855
S_only,1000,736,0.5822784810126582,0.2674271229404309,2730.0912351436614,613.0534057617188,8143.612646484376,28036.634453125,42652.09375,0.010653634141390318
S_only,5000,4387,0.7815784785319794,0.29466597617814605,2417.8572099925996,368.8388671875,7322.811816406251,26783.498437500002,42652.09375,0.0497246708130281
