variant,topk,pin2pin_overlap_count,pin2pin_jaccard,original_dcf_jaccard,topk_mean_length,topk_median_length,topk_q90_length,topk_q99_length,topk_max_length,topk_score_fraction
original_dcf,100,2,0.010101010101010102,1.0,22059.092963867188,22611.7763671875,33872.576171875,40387.971406250006,42052.671875,0.0011652135417829063
original_dcf,1000,74,0.03842159916926272,1.0,14867.826534057616,14714.609375,26359.069921875,35241.09496093749,42052.671875,0.010891827668568244
original_dcf,5000,425,0.044386422976501305,1.0,8676.558261083985,6773.078369140625,19993.893750000017,29524.093671875005,42052.671875,0.05062619409617849
no_eta,100,11,0.0582010582010582,0.05263157894736842,3642.6457470703126,1364.449462890625,10937.8201171875,23239.673632812533,29673.6875,0.001136434275076693
no_eta,1000,155,0.08401084010840108,0.13507377979568672,3663.312497362137,1059.51708984375,11668.554101562504,32901.67578124999,42052.671875,0.010679943505255602
no_eta,5000,1627,0.19431506031291054,0.11869336614833874,2362.8103573108674,268.28271484375,7266.547070312504,26783.98222656251,42052.671875,0.05004804349178112
M_only,100,6,0.030927835051546393,0.010101010101010102,2726.633413391113,1286.8431396484375,7079.483593750024,15095.259755859417,23174.68359375,0.0015952763711665598
M_only,1000,181,0.09950522264980759,0.06157112526539278,1945.6039146270753,566.08349609375,4845.579687500002,16526.03837890623,40371.15625,0.014261086830506333
M_only,5000,1681,0.20206755619665825,0.1113580795732385,2209.8417353366854,258.3525390625,6283.012841796875,25331.976640625006,42052.671875,0.06435941645022746
S_only,100,11,0.0582010582010582,0.05263157894736842,3642.6457470703126,1364.449462890625,10937.8201171875,23239.673632812533,29673.6875,0.0011364342306860562
S_only,1000,155,0.08401084010840108,0.13507377979568672,3663.312497362137,1059.51708984375,11668.554101562504,32901.67578124999,42052.671875,0.0106799433828192
S_only,5000,1627,0.19431506031291054,0.11869336614833874,2362.8103573108674,268.28271484375,7266.547070312504,26783.98222656251,42052.671875,0.050048043374216845
