variant,topk,pin2pin_overlap_count,pin2pin_jaccard,original_dcf_jaccard,topk_mean_length,topk_median_length,topk_q90_length,topk_q99_length,topk_max_length,topk_score_fraction
original_dcf,100,45,0.2903225806451613,1.0,5651.2184625244145,3553.999755859375,14880.758789062513,21943.712695312523,26581.03125,0.005511547400935525
original_dcf,1000,535,0.3651877133105802,1.0,4261.881560256958,596.027587890625,11328.514746093751,31816.08203125,31860.08203125,0.04975690615147045
original_dcf,5000,3485,0.5349194167306216,1.0,1424.2234711868286,335.921875,3367.353271484375,29741.64742187501,31860.08203125,0.2283906878899307
no_eta,100,100,1.0,0.2903225806451613,1188.5327899169922,251.4576416015625,1582.0184570312579,18079.943808593755,18789.23046875,0.005725785603999972
no_eta,1000,994,0.9880715705765407,0.3679890560875513,631.9011007461548,72.88690185546875,625.9497558593752,13330.518203124991,26581.03125,0.05276024573744885
no_eta,5000,4567,0.8406037180195104,0.558846453624318,466.97722862091064,146.53466796875,656.2847290039062,7341.883598632815,26581.03125,0.24007785408207918
M_only,100,100,1.0,0.2903225806451613,1188.5327899169922,251.4576416015625,1582.0184570312579,18079.943808593755,18789.23046875,0.008021812251574887
M_only,1000,994,0.9880715705765407,0.3679890560875513,631.9011007461548,72.88690185546875,625.9497558593752,13330.518203124991,26581.03125,0.07004580711411319
M_only,5000,4567,0.8406037180195104,0.558846453624318,466.97722862091064,146.53466796875,656.2847290039062,7341.883598632815,26581.03125,0.2965740462864116
S_only,100,100,1.0,0.2903225806451613,1188.5327899169922,251.4576416015625,1582.0184570312579,18079.943808593755,18789.23046875,0.005725785603999972
S_only,1000,994,0.9880715705765407,0.3679890560875513,631.9011007461548,72.88690185546875,625.9497558593752,13330.518203124991,26581.03125,0.05276024573744885
S_only,5000,4567,0.8406037180195104,0.558846453624318,466.97722862091064,146.53466796875,656.2847290039062,7341.883598632815,26581.03125,0.24007785408207918
